ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip
1651792530.779040000	202.90.156.1			192.168.1.138			84	1						
1651792530.786360000	192.168.1.138			202.90.156.1			84	1						
1651792531.005348000	202.90.156.1			192.168.1.138			84	1						
1651792531.035692000	192.168.1.138			202.90.156.1			84	1						
1651792531.262445000	202.90.156.1			192.168.1.138			84	1						
1651792531.285859000	192.168.1.138			202.90.156.1			84	1						
1651792531.512688000	202.90.156.1			192.168.1.138			84	1						
1651792531.535990000	192.168.1.138			202.90.156.1			84	1						
1651792531.687369000														
1651792531.790165000	192.168.1.138			202.90.156.1			84	1						
1651792531.823133000	202.90.156.1			192.168.1.138			84	1						
1651792531.929056000														
1651792532.008332000	202.90.156.1			192.168.1.138			84	1						
1651792532.039643000	192.168.1.138			202.90.156.1			84	1						
1651792532.267776000	202.90.156.1			192.168.1.138			84	1						
1651792532.290157000	192.168.1.138			202.90.156.1			84	1						
1651792532.523150000	202.90.156.1			192.168.1.138			84	1						
1651792532.540446000	192.168.1.138			202.90.156.1			84	1						
1651792532.757750000	202.90.156.1			192.168.1.138			84	1						
1651792532.767420000														
1651792532.791062000	192.168.1.138			202.90.156.1			84	1						
1651792532.865073000														
1651792532.974097000														
1651792533.048030000	202.90.156.1			192.168.1.138			84	1						
1651792533.065941000	192.168.1.138			175.45.79.1			84	1						
1651792533.121084000														
1651792533.226804000	175.45.79.1			192.168.1.138			84	1						
1651792533.316292000	192.168.1.138			175.45.79.1			84	1						
1651792533.476740000	175.45.79.1			192.168.1.138			84	1						
1651792533.567087000	192.168.1.138			175.45.79.1			84	1						
1651792533.728467000	175.45.79.1			192.168.1.138			84	1						
1651792533.817830000	192.168.1.138			175.45.79.1			84	1						
1651792533.947352000														
1651792533.947398000														
1651792533.978586000	175.45.79.1			192.168.1.138			84	1						
1651792534.051811000	128.111.52.93	4505		192.168.1.138	47230		581	6	0x0018	245683322	1379606271			
1651792534.051852000	192.168.1.138	47230		128.111.52.93	4505		52	6	0x0010	1379606271	245683851			
1651792534.053196000														
1651792534.069027000	192.168.1.138			175.45.79.1			84	1						
1651792534.230758000	175.45.79.1			192.168.1.138			84	1						
1651792534.320102000	192.168.1.138			175.45.79.1			84	1						
1651792534.481765000	175.45.79.1			192.168.1.138			84	1						
1651792534.565182000														
1651792534.571131000	192.168.1.138			175.45.79.1			84	1						
1651792534.733054000	175.45.79.1			192.168.1.138			84	1						
1651792534.821400000	192.168.1.138			175.45.79.1			84	1						
1651792534.982464000	175.45.79.1			192.168.1.138			84	1						
1651792535.007438000														
1651792535.071806000	192.168.1.138			175.45.79.1			84	1						
1651792535.232639000	175.45.79.1			192.168.1.138			84	1						
1651792535.321998000	192.168.1.138			175.45.79.1			84	1						
1651792535.415681000	128.111.52.93	4505		192.168.1.138	47230		549	6	0x0018	245683851	1379606271			
1651792535.415735000	192.168.1.138	47230		128.111.52.93	4505		52	6	0x0010	1379606271	245684348			
1651792535.438120000														
1651792535.483467000	175.45.79.1			192.168.1.138			84	1						
1651792535.496058000	192.168.1.138			190.98.158.1			84	1						
1651792535.680105000	190.98.158.1			192.168.1.138			84	1						
1651792535.720846000	192.168.1.138	44848		128.111.52.93	4506		60	6	0x0002	3871087467	0			
1651792535.721307000	128.111.52.93	4506		192.168.1.138	44848		60	6	0x0012	3499316	3871087468			
1651792535.721397000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087468	3499317			
1651792535.721635000	192.168.1.138	44848		128.111.52.93	4506		62	6	0x0018	3871087468	3499317			
1651792535.721986000	128.111.52.93	4506		192.168.1.138	44848		62	6	0x0018	3499317	3871087468			
1651792535.722052000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087478	3499327			
1651792535.722111000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0010	3499327	3871087478			
1651792535.722112000	128.111.52.93	4506		192.168.1.138	44848		53	6	0x0018	3499327	3871087478			
1651792535.722120000	192.168.1.138	44848		128.111.52.93	4506		53	6	0x0018	3871087478	3499327			
1651792535.722155000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087479	3499328			
1651792535.722205000	192.168.1.138	44848		128.111.52.93	4506		105	6	0x0018	3871087479	3499328			
1651792535.722413000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0010	3499328	3871087479			
1651792535.722441000	128.111.52.93	4506		192.168.1.138	44848		105	6	0x0018	3499328	3871087479			
1651792535.722453000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087532	3499381			
1651792535.722553000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0010	3499381	3871087532			
1651792535.722563000	192.168.1.138	44848		128.111.52.93	4506		92	6	0x0018	3871087532	3499381			
1651792535.722572000	128.111.52.93	4506		192.168.1.138	44848		95	6	0x0018	3499381	3871087532			
1651792535.722587000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087572	3499424			
1651792535.722903000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0010	3499424	3871087572			
1651792535.725302000	192.168.1.138	44848		128.111.52.93	4506		448	6	0x0018	3871087572	3499424			
1651792535.725752000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0010	3499424	3871087968			
1651792535.730833000	128.111.52.93	4506		192.168.1.138	44848		123	6	0x0018	3499424	3871087968			
1651792535.730872000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087968	3499495			
1651792535.733213000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0011	3871087968	3499495			
1651792535.733635000	128.111.52.93	4506		192.168.1.138	44848		52	6	0x0011	3499495	3871087969			
1651792535.733682000	192.168.1.138	44848		128.111.52.93	4506		52	6	0x0010	3871087969	3499496			
1651792535.746479000	192.168.1.138			190.98.158.1			84	1						
1651792535.756929000														
1651792535.930179000	190.98.158.1			192.168.1.138			84	1						
1651792535.997567000	192.168.1.138			190.98.158.1			84	1						
1651792536.181628000	190.98.158.1			192.168.1.138			84	1						
1651792536.247200000	192.168.1.138			190.98.158.1			84	1						
1651792536.430972000	190.98.158.1			192.168.1.138			84	1						
1651792536.497408000	192.168.1.138			190.98.158.1			84	1						
1651792536.681080000	190.98.158.1			192.168.1.138			84	1						
1651792536.748405000	192.168.1.138			190.98.158.1			84	1						
1651792536.932103000	190.98.158.1			192.168.1.138			84	1						
1651792536.999505000	192.168.1.138			190.98.158.1			84	1						
1651792537.098148000	192.168.1.138		38911	128.111.1.1		53	72	17					<Root>	
1651792537.100018000	128.111.1.1		53	192.168.1.138		38911	123	17					ucsb.edu,<Root>	
1651792537.100137000	192.168.1.138		38911	128.111.1.1		53	61	17						
1651792537.101463000	128.111.1.1		53	192.168.1.138		38911	112	17					ucsb.edu	
1651792537.102078000	192.168.1.138		59566	192.168.1.1		53	67	17					<Root>	
1651792537.102306000	192.168.1.1		53	192.168.1.138		59566	83	17					ubuntu.lan,<Root>	192.168.1.220
1651792537.125178000														
1651792537.183561000	190.98.158.1			192.168.1.138			84	1						
1651792537.185087000														
1651792537.248945000	192.168.1.138			190.98.158.1			84	1						
1651792537.350142000	128.111.52.93	4505		192.168.1.138	47230		533	6	0x0018	245684348	1379606271			
1651792537.350205000	192.168.1.138	47230		128.111.52.93	4505		52	6	0x0010	1379606271	245684829			
1651792537.432711000	190.98.158.1			192.168.1.138			84	1						
1651792537.499125000	192.168.1.138			190.98.158.1			84	1						
1651792537.659379000	192.168.1.138	44856		128.111.52.93	4506		60	6	0x0002	2284701049	0			
1651792537.659839000	128.111.52.93	4506		192.168.1.138	44856		60	6	0x0012	2644084556	2284701050			
1651792537.659929000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701050	2644084557			
1651792537.660164000	192.168.1.138	44856		128.111.52.93	4506		62	6	0x0018	2284701050	2644084557			
1651792537.660424000	128.111.52.93	4506		192.168.1.138	44856		62	6	0x0018	2644084557	2284701050			
1651792537.660482000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701060	2644084567			
1651792537.660513000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084567	2284701060			
1651792537.660546000	192.168.1.138	44856		128.111.52.93	4506		53	6	0x0018	2284701060	2644084567			
1651792537.660573000	128.111.52.93	4506		192.168.1.138	44856		53	6	0x0018	2644084567	2284701060			
1651792537.660582000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701061	2644084568			
1651792537.660642000	192.168.1.138	44856		128.111.52.93	4506		105	6	0x0018	2284701061	2644084568			
1651792537.660831000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084568	2284701061			
1651792537.660867000	128.111.52.93	4506		192.168.1.138	44856		105	6	0x0018	2644084568	2284701061			
1651792537.660884000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701114	2644084621			
1651792537.660975000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084621	2284701114			
1651792537.660996000	128.111.52.93	4506		192.168.1.138	44856		95	6	0x0018	2644084621	2284701114			
1651792537.661005000	192.168.1.138	44856		128.111.52.93	4506		92	6	0x0018	2284701114	2644084621			
1651792537.661018000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701154	2644084664			
1651792537.661357000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084664	2284701154			
1651792537.665593000	192.168.1.138	44856		128.111.52.93	4506		624	6	0x0018	2284701154	2644084664			
1651792537.666001000	128.111.52.93	4506		192.168.1.138	44856		52	6	0x0010	2644084664	2284701726			
1651792537.669251000	128.111.52.93	4506		192.168.1.138	44856		123	6	0x0018	2644084664	2284701726			
1651792537.669295000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0010	2284701726	2644084735			
1651792537.672307000	192.168.1.138	44856		128.111.52.93	4506		52	6	0x0011	2284701726	2644084735			
