viewport_frames,current_optimal_res,buffer_health,state,playback_progress,timestamp
 794x447 / -, 854x480@30 / 854x480@30,25.33,44c,0.0,1651792561.4212017
 794x447 / -, 854x480@30 / 854x480@30,25.33,44c,0.0,1651792562.4655404
 794x447 / -, 854x480@30 / 854x480@30,25.33,44c,0.0,1651792564.2902136
 794x447 / 0 dropped of 141, 854x480@30 / 854x480@30,25.42,8,4.58,1651792565.1281989
 794x447 / 0 dropped of 141, 854x480@30 / 854x480@30,25.42,8,4.58,1651792565.2358367
 794x447 / 0 dropped of 168, 854x480@30 / 854x480@30,35.18,8,5.56,1651792565.295063
 794x447 / 0 dropped of 168, 854x480@30 / 854x480@30,35.18,8,5.56,1651792565.3887384
 794x447 / 0 dropped of 168, 854x480@30 / 854x480@30,35.18,8,5.56,1651792565.6129491
 794x447 / 0 dropped of 168, 854x480@30 / 854x480@30,35.18,8,5.56,1651792565.7045557
 794x447 / 0 dropped of 183, 854x480@30 / 854x480@30,43.99,8,6.09,1651792565.7776096
 794x447 / 0 dropped of 183, 854x480@30 / 854x480@30,43.99,8,6.09,1651792565.989525
 794x447 / 0 dropped of 183, 854x480@30 / 854x480@30,43.99,8,6.09,1651792566.0511134
 794x447 / 0 dropped of 183, 854x480@30 / 854x480@30,43.99,8,6.09,1651792566.1611557
 794x447 / 0 dropped of 183, 854x480@30 / 854x480@30,43.99,8,6.09,1651792566.2722569
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.3283267
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.4264264
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.475021
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.5326278
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.5987456
 794x447 / 0 dropped of 200, 854x480@30 / 854x480@30,43.5,8,6.62,1651792566.6440814
 794x447 / 0 dropped of 231, 854x480@30 / 854x480@30,42.44,8,7.56,1651792567.734878
