ts	sIP	tcp_sPort	udp_sPort	dIP	tcp_dPort	udp_dPort	ip_len	ip_hdr_len	ip_proto	tcp_flags	tcp_seq	tcp_ack	tls_hostname	dns_hostname	dns_ip	rtp_seq	rtp_payload_type	rtp_ts	rtp_marker	rtp_ext_flag	rtp_ext_len	rtp_padding_len
1652830548.826286492																						
1652830548.827275567	128.111.52.93	4505		192.168.1.236	35268		549	20	6	0x0018	464657448	3034861949										
1652830548.827333825	192.168.1.236	35268		128.111.52.93	4505		52	20	6	0x0010	3034861949	464657945										
1652830548.869629817	192.168.1.236			213.242.96.193			84	20	1													
1652830549.027813768	213.242.96.193			192.168.1.236			84	20	1													
1652830549.119321587	192.168.1.236			213.242.96.193			84	20	1													
1652830549.277323171	213.242.96.193			192.168.1.236			84	20	1													
1652830549.296130729	192.168.1.236			193.201.166.129			84	20	1													
1652830549.479514990	193.201.166.129			192.168.1.236			84	20	1													
1652830549.546408933	192.168.1.236			193.201.166.129			84	20	1													
1652830549.729956969	193.201.166.129			192.168.1.236			84	20	1													
1652830549.798286255	192.168.1.236			193.201.166.129			84	20	1													
1652830549.942945772																						
1652830549.984501186	193.201.166.129			192.168.1.236			84	20	1													
1652830550.049587088	192.168.1.236			193.201.166.129			84	20	1													
1652830550.232621744	193.201.166.129			192.168.1.236			84	20	1													
1652830550.300453985	192.168.1.236			193.201.166.129			84	20	1													
1652830550.357248134	192.168.1.236		37883	192.168.1.1		53	65	20	17													
1652830550.359098692	192.168.1.1		53	192.168.1.236		37883	81	20	17					accounts.google.com	142.250.72.173							
1652830550.365633071	192.168.1.236	55064		142.250.72.173	443		60	20	6	0x0002	2026336323	0										
1652830550.368788901	142.250.72.173	443		192.168.1.236	55064		60	20	6	0x0012	2844602170	2026336324										
1652830550.368934546	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026336324	2844602171										
1652830550.370340150	192.168.1.236	55064		142.250.72.173	443		569	20	6	0x0018	2026336324	2844602171	accounts.google.com									
1652830550.373912213	142.250.72.173	443		192.168.1.236	55064		52	20	6	0x0010	2844602171	2026336841										
1652830550.380954082	142.250.72.173	443		192.168.1.236	55064		1470	20	6	0x0010	2844602171	2026336841										
1652830550.381029673	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026336841	2844603589										
1652830550.381186504	142.250.72.173	443		192.168.1.236	55064		2888	20	6	0x0010	2844603589	2026336841										
1652830550.381229873	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026336841	2844606425										
1652830550.381260206	142.250.72.173	443		192.168.1.236	55064		263	20	6	0x0018	2844606425	2026336841										
1652830550.381272206	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026336841	2844606636										
1652830550.409598624																						
1652830550.450421792	192.168.1.236	55064		142.250.72.173	443		126	20	6	0x0018	2026336841	2844606636										
1652830550.452312109	192.168.1.236	55064		142.250.72.173	443		144	20	6	0x0018	2026336915	2844606636										
1652830550.453736508	142.250.72.173	443		192.168.1.236	55064		970	20	6	0x0018	2844606636	2026336915										
1652830550.453874210	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026337007	2844607554										
1652830550.455260443	142.250.72.173	443		192.168.1.236	55064		83	20	6	0x0018	2844607554	2026337007										
1652830550.455322664	192.168.1.236	55064		142.250.72.173	443		52	20	6	0x0010	2026337007	2844607585										
1652830550.462372441	192.168.1.236	55064		142.250.72.173	443		83	20	6	0x0018	2026337007	2844607585										
1652830550.462830877	192.168.1.236	55064		142.250.72.173	443		416	20	6	0x0018	2026337038	2844607585										
1652830550.465943819	142.250.72.173	443		192.168.1.236	55064		52	20	6	0x0010	2844607585	2026337402										
1652830550.483540899	193.201.166.129			192.168.1.236			84	20	1													
1652830550.490291996																						
